,game_pk,at_bat_number,runner_id,pitcher_id,catcher_id,successful_sb,runner_sprint_speed,pitch_tempo,sb_att_rate,lead_dist_gained_opp,lead_dist_gained_att,pop_time,exchange_time,arm_strength,cs_aa_per_throw
1313,717589,2,670770,502043,668939,1,28.3,17.8,0.0144,3.809917098,8.665444444,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1314,716996,66,665487,642585,668939,1,29.3,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1315,717372,63,545350,663989,668939,0,28.8,12.4,0.03571428571428571,2.452962963,10.752,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1316,716450,61,665926,502043,668939,0,29.2,17.8,0.0144,3.809917098,8.665444444,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1317,716508,21,676801,680694,668939,0,28.2,17.21,0.0072072072072072065,2.9879980839999996,7.11575,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1318,717628,46,672284,665152,668939,1,28.0,16.007,0.014876033057851241,4.365183601,9.153666667000001,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1319,718102,58,543807,657508,668939,1,27.8,14.869000000000002,0.034782608695652174,4.6637788019999995,11.829875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1320,718618,31,668843,680570,668939,1,27.0,14.059000000000001,0.009596928982725529,3.362128631,12.4898,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1321,718531,67,669743,642585,668939,1,28.8,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1322,716489,24,608070,680570,668939,1,27.8,14.059000000000001,0.009596928982725529,3.362128631,12.4898,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1323,717628,21,677594,665152,668939,1,29.6,16.007,0.014876033057851241,4.365183601,9.153666667000001,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1324,717818,47,677951,641329,668939,0,30.5,16.785,0.03184713375796178,4.039972789,9.4406,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1325,718227,61,677551,543056,668939,1,27.5,17.194000000000003,0.045977011494252866,1.8810251569999998,11.070875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1326,717328,33,666139,502043,668939,1,28.8,17.8,0.0144,3.809917098,8.665444444,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1327,717769,30,593160,680694,668939,0,28.7,17.21,0.0072072072072072065,2.9879980839999996,7.11575,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1328,718495,56,668731,642585,668939,1,29.0,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1329,718688,80,592450,642585,668939,1,26.6,18.881,0.08163265306122447,5.166830986,14.80925,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1330,717839,29,677951,669330,668939,1,30.5,16.311,0.0054794520547945215,3.682543284,10.948,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1331,717219,12,664056,669330,668939,1,28.8,16.311,0.0054794520547945215,3.682543284,10.948,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1332,718213,3,663647,680694,668939,1,27.1,17.21,0.0072072072072072065,2.9879980839999996,7.11575,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1333,717541,48,572191,657508,668939,0,28.7,14.869000000000002,0.034782608695652174,4.6637788019999995,11.829875,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1334,718314,41,677951,502043,668939,1,30.5,17.8,0.0144,3.809917098,8.665444444,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1335,717946,80,665926,641329,668939,0,29.2,16.785,0.03184713375796178,4.039972789,9.4406,1.9068260869999998,0.6524782610000001,82.394495652,0.008946134202949249
1336,718288,18,663457,605513,606992,1,27.8,14.12,0.01875,4.478797203,14.621333332999999,1.989,0.7142,80.927334667,-0.023934644661676347
1337,718401,64,683002,671345,606992,0,28.8,16.832,0.01932367149758454,3.5735650000000003,7.4895,1.989,0.7142,80.927334667,-0.023934644661676347
1338,717886,33,656941,666214,606992,0,25.0,16.16,0.0221606648199446,1.8929628569999999,11.88825,1.989,0.7142,80.927334667,-0.023934644661676347
1339,716959,68,672356,542585,606992,0,28.1,16.624000000000002,0.013043478260869565,4.0614304930000005,8.669,1.989,0.7142,80.927334667,-0.023934644661676347
1340,717770,69,671739,668754,606992,1,28.8,18.354,0.038461538461538464,4.597692308,9.861,1.989,0.7142,80.927334667,-0.023934644661676347
1341,717770,57,660670,686839,606992,1,28.0,13.533,0.0505050505050505,4.445103093,13.882,1.989,0.7142,80.927334667,-0.023934644661676347
1342,717552,70,686668,669438,606992,1,29.9,15.052999999999999,0.013636363636363636,3.2717962089999997,7.825666667,1.989,0.7142,80.927334667,-0.023934644661676347
1343,717368,61,669392,671345,606992,1,29.1,16.832,0.01932367149758454,3.5735650000000003,7.4895,1.989,0.7142,80.927334667,-0.023934644661676347
1344,717915,55,663853,671345,606992,1,29.3,16.832,0.01932367149758454,3.5735650000000003,7.4895,1.989,0.7142,80.927334667,-0.023934644661676347
1345,718405,12,622761,666214,606992,1,30.1,16.16,0.0221606648199446,1.8929628569999999,11.88825,1.989,0.7142,80.927334667,-0.023934644661676347
1346,716983,22,572191,656412,606992,1,28.7,14.885,0.0099009900990099,3.55476087,7.9535,1.989,0.7142,80.927334667,-0.023934644661676347
1347,717915,29,643217,547179,606992,1,27.2,14.728,0.0061224489795918356,3.741264831,9.221333332999999,1.989,0.7142,80.927334667,-0.023934644661676347
1348,717243,26,663550,547179,606992,0,28.4,14.728,0.0061224489795918356,3.741264831,9.221333332999999,1.989,0.7142,80.927334667,-0.023934644661676347
1349,717668,31,658668,571510,606992,1,28.6,13.137,0.0040650406504065045,0.7693243240000001,14.767000000000001,1.989,0.7142,80.927334667,-0.023934644661676347
1350,718194,59,677594,676684,606992,1,29.6,14.982000000000001,0.009615384615384616,3.0460101010000002,6.622999999999999,1.989,0.7142,80.927334667,-0.023934644661676347
1351,718513,57,665926,656638,606992,1,29.2,15.436,0.0326530612244898,4.729228216,12.063875,1.989,0.7142,80.927334667,-0.023934644661676347
1352,718031,19,669394,656412,606992,1,28.0,14.885,0.0099009900990099,3.55476087,7.9535,1.989,0.7142,80.927334667,-0.023934644661676347
1353,717629,77,621545,445276,643348,1,28.4,18.936,0.1111111111111111,7.027785714,13.59375,1.982,0.6825,79.805575,-0.2093845507285415
1354,717547,18,656305,676710,643348,1,28.5,15.164000000000001,0.019650655021834062,4.520126106,10.026111111,1.982,0.6825,79.805575,-0.2093845507285415
1355,717458,51,650489,657508,543510,1,28.6,14.869000000000002,0.034782608695652174,4.6637788019999995,11.829875,2.016285714,0.686761905,78.260287143,0.06982165913460261
1356,716367,41,678882,669084,543510,1,28.7,14.169,0.010752688172043013,1.7847032969999999,9.171,2.016285714,0.686761905,78.260287143,0.06982165913460261
1357,716367,20,646240,543056,543510,1,26.0,17.194000000000003,0.045977011494252866,1.8810251569999998,11.070875,2.016285714,0.686761905,78.260287143,0.06982165913460261
1358,718128,49,650859,657508,543510,1,27.3,14.869000000000002,0.034782608695652174,4.6637788019999995,11.829875,2.016285714,0.686761905,78.260287143,0.06982165913460261
1359,717280,57,679032,543056,543510,1,29.5,17.194000000000003,0.045977011494252866,1.8810251569999998,11.070875,2.016285714,0.686761905,78.260287143,0.06982165913460261
1360,717300,66,668227,672335,543510,1,28.4,16.208,0.02030456852791878,1.986165775,10.87375,2.016285714,0.686761905,78.260287143,0.06982165913460261
1361,716416,45,682928,680570,543510,1,28.6,14.059000000000001,0.009596928982725529,3.362128631,12.4898,2.016285714,0.686761905,78.260287143,0.06982165913460261
1362,716965,56,665742,672335,543510,0,26.8,16.208,0.02030456852791878,1.986165775,10.87375,2.016285714,0.686761905,78.260287143,0.06982165913460261
1363,717808,35,658668,502043,543510,0,28.6,17.8,0.0144,3.809917098,8.665444444,2.016285714,0.686761905,78.260287143,0.06982165913460261
1364,717458,66,650489,642585,543510,0,28.6,18.881,0.08163265306122447,5.166830986,14.80925,2.016285714,0.686761905,78.260287143,0.06982165913460261
